Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
PLANTAGO MAJOR,PLANTAGO MAJOR,https://pubchem.ncbi.nlm.nih.gov/compound/Plantago%20Major,FEATURED,84929-43-1,No CAS info,COMPOUND,MISSING,YES,YES
PLASMIN,PLASMIN,https://pubchem.ncbi.nlm.nih.gov/compound/10370340,RELEVANT,62354-43-2,No CAS info,COMPOUND,NO,NO,NO
POLYURETHANE,POLYURETHANE,https://pubchem.ncbi.nlm.nih.gov/compound/Polyurethane,FEATURED,"9009-54-5, 53504-41-9, 65916-86-1, 68258-82-2",No CAS info,COMPOUND,MISSING,YES,YES
PROTHROMBIN,PROTHROMBIN,https://pubchem.ncbi.nlm.nih.gov/compound/196366,RELEVANT,103658-53-3,No CAS info,COMPOUND,NO,NO,NO
PYGEUM AFRICANUM,PYGEUM AFRICANUM,https://pubchem.ncbi.nlm.nih.gov/compound/Pygeum,FEATURED,"85865-74-3, 94279-95-5",No CAS info,COMPOUND,MISSING,YES,YES
QUERCUS ALBA,QUERCUS ALBA,https://pubchem.ncbi.nlm.nih.gov/compound/Quercus%20alba%20pollen,FEATURED,68917-11-3,No CAS info,COMPOUND,MISSING,YES,YES
QUERCUS ROBUR,QUERCUS ROBUR,https://pubchem.ncbi.nlm.nih.gov/compound/Quercus%20robur%20flower,FEATURED,71011-28-4,No CAS info,COMPOUND,MISSING,YES,YES
RANITIDINE,RANITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/3001055,FEATURED,82530-72-1,No CAS info,COMPOUND,YES,YES,YES
RANUNCULUS BULBOSUS,RANUNCULUS BULBOSUS,https://pubchem.ncbi.nlm.nih.gov/compound/Ranunculus%20Bulbosus,FEATURED,90106-07-3,No CAS info,COMPOUND,MISSING,YES,YES
RAPHANUS SATIVUS,RAPHANUS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/compound/Raphanus%20Sativus,FEATURED,84775-94-0,No CAS info,COMPOUND,MISSING,YES,YES
SCROPHULARIA NODOSA,SCROPHULARIA NODOSA,https://pubchem.ncbi.nlm.nih.gov/compound/Scrophularia%20Nodosa,FEATURED,90106-65-3,No CAS info,COMPOUND,MISSING,MISSING,NO
SEPIA OFFICINALIS,SEPIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/6325610,RELEVANT,8049-97-6,No CAS info,COMPOUND,NO,NO,NO
SIMETICONE,SIMETICONE,https://pubchem.ncbi.nlm.nih.gov/compound/6433516,FEATURED,8050-81-5,No CAS info,COMPOUND,YES,YES,YES
SPIGELIA ANTHELMIA,SPIGELIA ANTHELMIA,https://pubchem.ncbi.nlm.nih.gov/compound/Spigelia%20Anthelmia,FEATURED,84961-60-4,No CAS info,COMPOUND,MISSING,YES,YES
STELLARIA MEDIA,STELLARIA MEDIA,https://pubchem.ncbi.nlm.nih.gov/compound/Stellaria%20Media,FEATURED,90131-34-3,No CAS info,COMPOUND,MISSING,YES,YES
TRIBULUS TERRESTRIS,TRIBULUS TERRESTRIS,https://pubchem.ncbi.nlm.nih.gov/compound/10125785,RELEVANT,90131-68-3,No CAS info,COMPOUND,NO,NO,NO
URTICA DIOICA,URTICA DIOICA,https://pubchem.ncbi.nlm.nih.gov/compound/Urtica%20dioica,FEATURED,84012-40-8,No CAS info,COMPOUND,MISSING,YES,YES
VALERIANA OFFICINALIS,VALERIANA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/6439585,RELEVANT,81397-67-3,No CAS info,COMPOUND,NO,NO,NO
VERBENA OFFICINALIS,VERBENA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/Verbena%20officinalis,FEATURED,977000-41-1,No CAS info,COMPOUND,MISSING,YES,YES
VITAMIN K,VITAMIN K,https://pubchem.ncbi.nlm.nih.gov/compound/5280483,FEATURED,"12001-79-5, 27696-10-2, 81818-54-4",No CAS info,COMPOUND,YES,YES,YES
