,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
2140,,,,,,,,NO,MISSING,NO
2141,,,,,,,,MISSING,YES,YES
2142,,,,,,,,MISSING,YES,YES
2143,,,,,,,,NO,YES,YES
2144,,,,,,,,MISSING,YES,YES
2145,,,,,,,,MISSING,MISSING,NO
2146,,,,,,,,MISSING,YES,YES
2147,,,,,,,,YES,YES,YES
2148,,,,,,,,YES,YES,YES
2149,,,,,,,,YES,YES,YES
2150,,,,,,,,MISSING,YES,YES
2151,,,,,,,,MISSING,YES,YES
2152,,,,,,,,NO,MISSING,NO
2153,,,,,,,,YES,YES,YES
2154,,,,,,,,YES,YES,YES
2155,,,,,,,,YES,YES,YES
2156,,,,,,,,MISSING,YES,YES
2157,,,,,,,,MISSING,YES,YES
2158,,,,,,,,YES,YES,YES
2159,,,,,,,,YES,YES,YES
2160,,,,,,,,YES,YES,YES
2161,,,,,,,,NO,YES,YES
2162,,,,,,,,YES,YES,YES
2163,,,,,,,,YES,YES,YES
2164,,,,,,,,YES,YES,YES
2165,,,,,,,,YES,YES,YES
2166,,,,,,,,YES,YES,YES
2167,,,,,,,,YES,YES,YES
2168,,,,,,,,YES,YES,YES
2169,,,,,,,,YES,YES,YES
2170,,,,,,,,YES,YES,YES
2171,,,,,,,,YES,YES,YES
2172,,,,,,,,MISSING,MISSING,NO
2173,,,,,,,,YES,YES,YES
2174,,,,,,,,MISSING,MISSING,NO
2175,,,,,,,,YES,YES,YES
2176,,,,,,,,YES,YES,YES
2177,,,,,,,,YES,YES,YES
2178,,,,,,,,NO,MISSING,NO
2179,,,,,,,,YES,YES,YES
2180,,,,,,,,NO,MISSING,NO
2181,,,,,,,,YES,YES,YES
2182,,,,,,,,YES,YES,YES
2183,,,,,,,,YES,YES,YES
2184,,,,,,,,YES,YES,YES
2185,,,,,,,,YES,YES,YES
2186,,,,,,,,YES,YES,YES
2187,,,,,,,,YES,YES,YES
2188,,,,,,,,YES,YES,YES
2189,,,,,,,,YES,YES,YES
2190,,,,,,,,YES,YES,YES
2191,,,,,,,,YES,YES,YES
2192,,,,,,,,YES,YES,YES
2193,,,,,,,,YES,YES,YES
2194,,,,,,,,MISSING,MISSING,NO
2195,,,,,,,,YES,YES,YES
2196,,,,,,,,YES,YES,YES
2197,,,,,,,,MISSING,NO,NO
2198,,,,,,,,YES,YES,YES
2199,,,,,,,,YES,YES,YES
2200,,,,,,,,YES,YES,YES
2201,,,,,,,,YES,YES,YES
2202,,,,,,,,YES,YES,YES
2203,,,,,,,,MISSING,YES,YES
2204,,,,,,,,NO,NO,NO
2205,,,,,,,,MISSING,MISSING,NO
2206,,,,,,,,MISSING,MISSING,NO
2207,,,,,,,,MISSING,YES,YES
2208,,,,,,,,NO,NO,NO
2209,,,,,,,,NO,NO,NO
2210,,,,,,,,NO,NO,NO
2211,,,,,,,,YES,YES,YES
2212,,,,,,,,YES,YES,YES
2213,,,,,,,,YES,YES,YES
2214,,,,,,,,YES,YES,YES
2215,,,,,,,,NO,MISSING,NO
2216,,,,,,,,NO,MISSING,NO
2217,,,,,,,,NO,MISSING,NO
2218,,,,,,,,NO,MISSING,NO
2219,,,,,,,,YES,YES,YES
2220,,,,,,,,NO,MISSING,NO
2221,,,,,,,,NO,MISSING,NO
2222,,,,,,,,MISSING,YES,YES
2223,,,,,,,,NO,NO,NO
2224,,,,,,,,NO,MISSING,NO
2225,,,,,,,,MISSING,YES,YES
2226,,,,,,,,NO,MISSING,NO
2227,,,,,,,,MISSING,MISSING,NO
2228,,,,,,,,MISSING,YES,YES
2229,,,,,,,,YES,YES,YES
2230,,,,,,,,YES,YES,YES
2231,,,,,,,,YES,YES,YES
2232,,,,,,,,YES,YES,YES
2233,,,,,,,,YES,YES,YES
2234,,,,,,,,YES,YES,YES
2235,,,,,,,,YES,YES,YES
2236,,,,,,,,YES,YES,YES
2237,,,,,,,,NO,YES,YES
2238,,,,,,,,MISSING,YES,YES
2239,,,,,,,,YES,YES,YES
2240,,,,,,,,YES,YES,YES
2241,,,,,,,,YES,YES,YES
2242,,,,,,,,MISSING,YES,YES
2243,,,,,,,,MISSING,YES,YES
2244,,,,,,,,YES,YES,YES
2245,,,,,,,,YES,YES,YES
2246,,,,,,,,YES,YES,YES
2247,,,,,,,,YES,YES,YES
2248,,,,,,,,YES,YES,YES
2249,,,,,,,,YES,YES,YES
2250,,,,,,,,YES,YES,YES
2251,,,,,,,,YES,YES,YES
2252,,,,,,,,YES,YES,YES
2253,,,,,,,,YES,YES,YES
2254,,,,,,,,YES,YES,YES
2255,,,,,,,,YES,YES,YES
2256,,,,,,,,YES,YES,YES
2257,,,,,,,,MISSING,YES,YES
2258,,,,,,,,MISSING,YES,YES
2259,,,,,,,,YES,YES,YES
2260,,,,,,,,YES,YES,YES
2261,,,,,,,,YES,YES,YES
2262,,,,,,,,MISSING,YES,YES
2263,,,,,,,,YES,YES,YES
2264,,,,,,,,MISSING,YES,YES
2265,,,,,,,,YES,YES,YES
2266,,,,,,,,MISSING,YES,YES
2267,,,,,,,,MISSING,YES,YES
2268,,,,,,,,MISSING,YES,YES
2269,,,,,,,,YES,YES,YES
2270,,,,,,,,YES,YES,YES
2271,,,,,,,,YES,YES,YES
2272,,,,,,,,YES,YES,YES
2273,,,,,,,,YES,YES,YES
2274,,,,,,,,YES,YES,YES
2275,,,,,,,,MISSING,YES,YES
2276,,,,,,,,YES,YES,YES
2277,,,,,,,,YES,YES,YES
2278,,,,,,,,YES,YES,YES
2279,,,,,,,,MISSING,YES,YES
2280,,,,,,,,MISSING,YES,YES
2281,,,,,,,,YES,YES,YES
2282,,,,,,,,YES,YES,YES
2283,,,,,,,,YES,YES,YES
2284,,,,,,,,MISSING,YES,YES
2285,,,,,,,,MISSING,MISSING,NO
2286,,,,,,,,NO,NO,NO
2287,,,,,,,,NO,MISSING,NO
2288,,,,,,,,NO,NO,NO
2289,,,,,,,,YES,YES,YES
2290,,,,,,,,NO,MISSING,NO
2291,,,,,,,,YES,YES,YES
2292,,,,,,,,YES,YES,YES
2293,,,,,,,,YES,YES,YES
2294,,,,,,,,YES,YES,YES
2295,,,,,,,,NO,MISSING,NO
2296,,,,,,,,MISSING,YES,YES
2297,,,,,,,,YES,YES,YES
2298,,,,,,,,YES,YES,YES
2299,,,,,,,,YES,YES,YES
2300,,,,,,,,MISSING,YES,YES
2301,,,,,,,,YES,YES,YES
2302,,,,,,,,YES,YES,YES
2303,,,,,,,,YES,YES,YES
2304,,,,,,,,YES,YES,YES
2305,,,,,,,,YES,YES,YES
2306,,,,,,,,YES,YES,YES
2307,,,,,,,,YES,YES,YES
2308,,,,,,,,YES,YES,YES
2309,,,,,,,,YES,YES,YES
2310,,,,,,,,MISSING,YES,YES
2311,,,,,,,,YES,YES,YES
2312,,,,,,,,YES,YES,YES
2313,,,,,,,,YES,YES,YES
2314,,,,,,,,YES,YES,YES
2315,,,,,,,,YES,YES,YES
2316,,,,,,,,YES,YES,YES
2317,,,,,,,,YES,YES,YES
2318,,,,,,,,YES,YES,YES
2319,,,,,,,,MISSING,YES,YES
2320,,,,,,,,YES,YES,YES
2321,,,,,,,,YES,YES,YES
2322,,,,,,,,YES,YES,YES
2323,,,,,,,,MISSING,YES,YES
2324,,,,,,,,NO,NO,NO
2325,,,,,,,,YES,YES,YES
2326,,,,,,,,NO,NO,NO
2327,,,,,,,,YES,YES,YES
2328,,,,,,,,YES,YES,YES
2329,,,,,,,,MISSING,YES,YES
2330,,,,,,,,NO,MISSING,NO
2331,,,,,,,,YES,YES,YES
2332,,,,,,,,YES,YES,YES
2333,,,,,,,,YES,YES,YES
2334,,,,,,,,NO,MISSING,NO
2335,,,,,,,,MISSING,YES,YES
2336,,,,,,,,YES,YES,YES
2337,,,,,,,,NO,MISSING,NO
2338,,,,,,,,YES,YES,YES
2339,,,,,,,,YES,YES,YES
2340,,,,,,,,YES,YES,YES
2341,,,,,,,,NO,MISSING,NO
2342,,,,,,,,NO,NO,NO
2343,,,,,,,,MISSING,YES,YES
2344,,,,,,,,YES,YES,YES
2345,,,,,,,,YES,YES,YES
2346,,,,,,,,YES,YES,YES
2347,,,,,,,,YES,YES,YES
2348,,,,,,,,NO,YES,YES
2349,,,,,,,,YES,YES,YES
2350,,,,,,,,YES,YES,YES
2351,,,,,,,,YES,YES,YES
2352,,,,,,,,NO,MISSING,NO
2353,,,,,,,,NO,MISSING,NO
2354,,,,,,,,YES,YES,YES
2355,,,,,,,,MISSING,YES,YES
2356,,,,,,,,YES,YES,YES
2357,,,,,,,,MISSING,YES,YES
2358,,,,,,,,MISSING,YES,YES
2359,,,,,,,,YES,YES,YES
2360,,,,,,,,YES,YES,YES
2361,,,,,,,,NO,NO,NO
2362,,,,,,,,NO,MISSING,NO
2363,,,,,,,,YES,YES,YES
2364,,,,,,,,YES,YES,YES
2365,,,,,,,,MISSING,YES,YES
2366,,,,,,,,MISSING,YES,YES
2367,,,,,,,,MISSING,YES,YES
2368,,,,,,,,MISSING,YES,YES
2369,,,,,,,,NO,MISSING,NO
2370,,,,,,,,YES,YES,YES
2371,,,,,,,,YES,YES,YES
2372,,,,,,,,NO,NO,NO
2373,,,,,,,,YES,YES,YES
2374,,,,,,,,NO,MISSING,NO
2375,,,,,,,,NO,MISSING,NO
2376,,,,,,,,NO,MISSING,NO
2377,,,,,,,,MISSING,YES,YES
2378,,,,,,,,YES,YES,YES
2379,,,,,,,,MISSING,MISSING,NO
2380,,,,,,,,MISSING,MISSING,NO
2381,,,,,,,,NO,NO,NO
2382,,,,,,,,MISSING,YES,YES
2383,,,,,,,,MISSING,YES,YES
2384,,,,,,,,MISSING,YES,YES
2385,,,,,,,,YES,YES,YES
2386,,,,,,,,YES,YES,YES
2387,,,,,,,,YES,YES,YES
2388,,,,,,,,MISSING,YES,YES
2389,,,,,,,,MISSING,YES,YES
2390,,,,,,,,YES,YES,YES
2391,,,,,,,,YES,YES,YES
2392,,,,,,,,YES,YES,YES
2393,,,,,,,,YES,YES,YES
2394,,,,,,,,YES,YES,YES
2395,,,,,,,,YES,YES,YES
2396,,,,,,,,YES,YES,YES
2397,,,,,,,,NO,MISSING,NO
2398,,,,,,,,YES,YES,YES
2399,,,,,,,,YES,YES,YES
2400,,,,,,,,NO,NO,NO
2401,,,,,,,,NO,NO,NO
2402,,,,,,,,NO,MISSING,NO
2403,,,,,,,,YES,YES,YES
2404,,,,,,,,YES,YES,YES
2405,,,,,,,,YES,YES,YES
2406,,,,,,,,YES,YES,YES
2407,,,,,,,,YES,YES,YES
2408,,,,,,,,NO,MISSING,NO
2409,,,,,,,,MISSING,YES,YES
2410,,,,,,,,YES,YES,YES
2411,,,,,,,,MISSING,YES,YES
2412,,,,,,,,NO,NO,NO
2413,,,,,,,,YES,YES,YES
2414,,,,,,,,YES,YES,YES
2415,,,,,,,,NO,NO,NO
2416,,,,,,,,YES,YES,YES
2417,,,,,,,,YES,YES,YES
2418,,,,,,,,MISSING,YES,YES
2419,,,,,,,,YES,YES,YES
2420,,,,,,,,MISSING,YES,YES
2421,,,,,,,,YES,YES,YES
2422,,,,,,,,YES,YES,YES
2423,,,,,,,,MISSING,YES,YES
2424,,,,,,,,YES,YES,YES
