CAS,Deprecated CAS
7553-56-2,"24503-90-0, 8012-81-5, 8012-85-9, 8031-47-8, 8012-81-5, 8012-85-9, 8031-47-8"
"60166-93-0, 60208-45-9, 88375-91-1",62883-00-5
4759-48-2,
"59-01-8, 8063-07-8, 3847-27-6","11025-65-3, 1807443-02-2, 19079-03-9, 64013-69-0, 717087-69-9, 936337-76-7, 11025-65-3, 1350052-69-5, 1807443-02-2, 19079-03-9, 64013-69-0, 717087-69-9, 936337-76-7, 19079-03-9, 64013-69-0, 936337-76-7"
"1340-68-7, 1332-58-7, 95077-05-7","1026990-70-4, 12198-85-5, 12199-11-0, 1227491-10-2, 1227491-11-3, 190086-05-6, 2489793-92-0, 290817-34-4, 384842-32-4, 39406-22-9, 395075-09-9, 52624-41-6, 849104-81-0, 862272-04-6, 903527-69-5, 90803-81-9, 944250-63-9, 95077-05-7, 1026990-70-4, 107029-18-5, 12198-85-5, 12199-11-0, 1227491-10-2, 1227491-11-3, 190086-05-6, 2345616-52-4, 2489793-92-0, 290817-34-4, 384842-32-4, 39406-22-9, 395075-09-9, 52624-41-6, 849104-81-0, 862272-04-6, 903527-69-5, 90803-81-9, 944250-63-9, 95077-05-7"
8008-20-6,"111941-10-7, 55465-93-5, 63241-54-3, 111941-10-7, 55465-93-5"
36894-69-6,
797-63-7,"121714-72-5, 4222-79-1, 797-62-6"
"297-90-5, 77-07-6",125-74-6
"137-58-6, 6108-05-0","8059-42-5, 8059-66-3, 91484-71-8, 8059-66-3, 91484-71-8"
"138-86-3, 5989-27-5, 7705-14-8, 8016-20-4, 9003-73-0","555-08-8, 7705-14-8, 8022-90-0, 8050-32-6, 7705-14-8"
58-89-9,"25897-48-7, 53529-37-6, 55963-79-6, 8007-42-9, 8073-23-2, 25897-48-7, 53529-37-6, 55963-79-6, 8007-42-9, 8073-23-2, 25897-48-7, 53529-37-6, 55963-79-6, 8073-23-2"
"6893-02-3, 15785-49-6","57164-27-9, 7013-53-8"
N/A,
N/A,
13010-47-4,
"56-87-1, 57282-49-2, 20166-34-1, 25104-18-1","1150316-18-9, 1153953-95-7, 2087491-46-9, 2139267-51-7, 2566526-81-4, 280114-50-3, 48050-57-3, 6899-06-5, 1150316-18-9, 280114-50-3, 48050-57-3, 6899-06-5"
"6915-15-7, 617-48-1, 180991-05-3, 143435-96-5","1334703-48-8, 41308-42-3, 617-48-1, 623158-98-5, 879715-44-3, 1334703-48-8, 41308-42-3, 617-48-1, 879715-44-3"
"141-82-2, 15467-21-7",211863-95-5
N/A,
68562-41-4,
977051-08-3,
"148-82-3, 2185-97-9, 1465-26-5",8057-25-8
"1490-04-6, 23283-97-8, 89-78-1, 2216-52-6, 15356-70-4, 491-01-0, 491-02-1",
"57-53-4, 63808-42-4",
"89-57-6, 51481-17-5",61513-32-4
1665-48-1,105801-80-7
76-99-3,297-88-1
554-57-4,2101958-72-7
"59-05-2, 133073-73-1",1082707-84-3
"61-73-4, 7220-79-3, 97130-83-1","1001913-24-1, 1001914-35-7, 105504-42-5, 121067-62-7, 1219638-11-5, 12262-49-6, 1341-90-8, 167498-52-4, 6476-03-5, 923927-02-0, 97130-83-1, 1001913-24-1, 1001914-35-7, 105504-42-5, 1219638-11-5, 12262-49-6, 1341-90-8, 152071-32-4, 167498-52-4, 6476-03-5, 923927-02-0, 97130-83-1"
83-43-2,"121673-01-6, 570-35-4, 121673-01-6"
364-62-5,
65271-80-9,"137635-96-2, 70945-62-9"
"57-27-2, 23552-18-3","1325730-46-8, 47106-99-0, 8053-16-5, 85201-37-2, 863713-90-0"
55096-26-9,
N/A,
59-99-4,
