New CAS,New Deprecated CAS
8015-86-9,"174477-33-9, 2291949-29-4, 77700-48-2, 77700-48-2"
"305-84-0, 107667-60-7",7683-28-5
5300-03-8,
"68-26-8, 11103-57-4","13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 13123-33-6, 5979-23-7"
51781-06-7,
N/A,
N/A,
72956-09-3,107741-96-8
"8024-48-4, 8015-89-2",
9000-71-9,"2649563-94-8, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9062-08-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3"
162808-62-0,
N/A,
N/A,
606138-08-3,
N/A,
N/A,
"53994-73-3, 70356-03-5",
"50370-12-2, 66592-87-8",
"15686-71-2, 23325-78-2","14101-75-8, 17692-47-6, 65454-17-3, 82853-18-7"
"34444-01-4, 30034-03-8",
"24356-60-3, 21593-23-7",
25953-19-9,
91832-40-5,
117467-28-4,
"88040-23-7, 149261-27-8",107648-84-0
"79350-37-1, 125110-14-7",214265-67-5
56796-20-4,
61270-58-4,
"62893-19-0, 62893-20-3, 113826-44-1",72448-63-6
"63527-52-6, 60846-21-1, 63527-53-7",69738-42-7
69712-56-7,
35607-66-0,
87239-81-4,
"92676-86-3, 92665-29-7",136427-56-0
38821-53-3,
229016-73-3,
"72558-82-8, 78439-06-2",
97519-39-6,
68401-81-0,
689293-68-3,
"73384-59-5, 74578-69-1",380149-23-5
55268-75-2,153012-39-6
"64544-07-6, 97232-96-7",
169590-42-5,"184007-95-2, 194044-54-7"
"61788-77-0, 9012-54-8, 33404-34-1","143296-48-4, 145172-25-4, 149718-64-9, 152443-09-9, 160995-61-9, 179530-34-8, 214975-89-0, 2242562-77-0, 2829271-59-0, 881098-86-8, 9037-40-5"
